Method,Approach,Solver,Objective,Time,Status,User_time,NT
GDPopt,LBB,knitro,9.894736842,900.124886,maxTimeLimit,NA,13
GDPopt,LOA,baron,3.130189427,4.525752679,optimal,NA,13
GDPopt,GLOA,baron,2.847894359,497.5736022,optimal,NA,13
GDPopt,LBB,baron,9.894736842,900.1249139,maxTimeLimit,NA,13
D-SDA_MIP_bigm,k=Infinity,knitro,2.847894632,15.21,optimal,0.956000271,13
D-SDA_MIP_hull,k=Infinity,knitro,3.130198134,24.65,optimal,2.233998268,13
D-SDA_MIP_bigm,k=2,knitro,3.130198133,7,optimal,0.40399977,13
D-SDA_MIP_hull,k=2,knitro,3.130198133,12.01,optimal,1.662999555,13
D-SDA_MIP_bigm,k=Infinity,baron,2.889536799,900.52,maxTimeLimit,890.3110002,13
D-SDA_MIP_hull,k=Infinity,baron,2.90953326,900.65,maxTimeLimit,885.9540006,13
D-SDA_MIP_bigm,k=2,baron,3.130185654,265.62,optimal,256.3520011,13
D-SDA_MIP_hull,k=2,baron,3.130198133,689.37,optimal,678.9890003,13
MINLP,bigm,antigone,9.894736842,0.082000159,infeasible,NA,14
MINLP,hull,antigone,2.889536969,899.2650001,optimal,NA,14
MINLP,bigm,baron,2.837980664,900.049,optimal,NA,14
MINLP,hull,baron,2.837980692,900.0739998,optimal,NA,14
MINLP,bigm,scip,2.837980352,900.6140002,optimal,NA,14
MINLP,hull,scip,2.889534883,900.7659997,optimal,NA,14
MINLP,bigm,dicopt,2.837980665,47.55799994,optimal,NA,14
MINLP,hull,dicopt,2.83798069,45.1539997,optimal,NA,14
MINLP,bigm,sbb,2.83798048,110.8969996,optimal,NA,14
MINLP,hull,sbb,2.837980683,4.840999818,optimal,NA,14
MINLP,bigm,knitro,2.837980681,48.40300013,optimal,NA,14
MINLP,hull,knitro,2.837980693,8.837999613,optimal,NA,14
GDPopt,LOA,knitro,9.894736844,107.5634929,optimal,NA,14
GDPopt,GLOA,knitro,9.894736844,107.0759928,optimal,NA,14
GDPopt,LBB,knitro,9.894736842,900.5767009,maxTimeLimit,NA,14
GDPopt,LOA,baron,3.200976595,4.75005422,optimal,NA,14
GDPopt,GLOA,baron,2.837972082,651.4082631,optimal,NA,14
GDPopt,LBB,baron,9.894736842,900.1640071,maxTimeLimit,NA,14
D-SDA_MIP_bigm,k=Infinity,knitro,2.837980681,18.71,optimal,2.117000311,14
D-SDA_MIP_hull,k=Infinity,knitro,2.837980693,28.2,optimal,1.8449998,14
D-SDA_MIP_bigm,k=2,knitro,3.130198133,8.21,optimal,0.901999231,14
D-SDA_MIP_hull,k=2,knitro,3.130198133,12.91,optimal,1.541000744,14
D-SDA_MIP_bigm,k=Infinity,baron,2.873133259,900.5,maxTimeLimit,888.0979999,14
D-SDA_MIP_hull,k=Infinity,baron,2.909505883,900.72,maxTimeLimit,884.4809983,14
D-SDA_MIP_bigm,k=2,baron,3.130154083,200.95,optimal,190.6770002,14
D-SDA_MIP_hull,k=2,baron,3.130198133,615.47,optimal,604.0059995,14
MINLP,bigm,antigone,9.894736842,0.086000212,infeasible,NA,15
MINLP,hull,antigone,2.934405103,899.3299999,optimal,NA,15
MINLP,bigm,baron,2.829394028,900.0039998,optimal,NA,15
MINLP,hull,baron,2.829391856,900.0150005,optimal,NA,15
MINLP,bigm,scip,2.829393732,900.8390002,optimal,NA,15
MINLP,hull,scip,2.829394059,900.8720002,optimal,NA,15
MINLP,bigm,dicopt,2.829394052,104.602,optimal,NA,15
MINLP,hull,dicopt,2.829394063,93.57500039,optimal,NA,15
MINLP,bigm,sbb,2.829394064,900.0500001,optimal,NA,15
MINLP,hull,sbb,2.829394064,6.903000176,optimal,NA,15
MINLP,bigm,knitro,2.829394051,93.41399996,optimal,NA,15
MINLP,hull,knitro,2.847894632,12.19400007,optimal,NA,15
GDPopt,LOA,knitro,2.837980693,21.08359348,optimal,NA,15
GDPopt,GLOA,knitro,2.837980693,139.607766,optimal,NA,15
GDPopt,LBB,knitro,9.894736842,900.1146399,maxTimeLimit,NA,15
GDPopt,LOA,baron,3.200962368,5.414517806,optimal,NA,15
GDPopt,GLOA,baron,2.829389006,825.7826751,optimal,NA,15
GDPopt,LBB,baron,9.894736842,900.1110123,maxTimeLimit,NA,15
D-SDA_MIP_bigm,k=Infinity,knitro,2.829394063,20.91,optimal,1.916001225,15
D-SDA_MIP_hull,k=Infinity,knitro,3.130198133,29.24,optimal,2.481999085,15
D-SDA_MIP_bigm,k=2,knitro,3.130198125,8.17,optimal,0.266000116,15
D-SDA_MIP_hull,k=2,knitro,3.130198133,13.03,optimal,0.627999636,15
D-SDA_MIP_bigm,k=Infinity,baron,2.889536817,900.54,maxTimeLimit,888.3600006,15
D-SDA_MIP_hull,k=Infinity,baron,2.909492365,900.76,maxTimeLimit,883.2900013,15
D-SDA_MIP_bigm,k=2,baron,3.130154442,228.57,optimal,217.5990002,15
D-SDA_MIP_hull,k=2,baron,3.130198133,802.66,optimal,790.3340009,15
MINLP,bigm,antigone,9.894736842,0.101000257,infeasible,NA,16
MINLP,hull,antigone,3.007277974,899.5410001,optimal,NA,16
MINLP,bigm,baron,2.821886294,900.0029997,optimal,NA,16
MINLP,hull,baron,2.821886409,900.0820006,optimal,NA,16
MINLP,bigm,scip,2.821886075,901.4260004,optimal,NA,16
MINLP,hull,scip,2.821886408,901.0890001,optimal,NA,16
MINLP,bigm,dicopt,2.821886403,101.6200005,optimal,NA,16
MINLP,hull,dicopt,2.821886409,156.2389999,optimal,NA,16
MINLP,bigm,sbb,2.821886314,212.3180001,optimal,NA,16
MINLP,hull,sbb,2.821886409,9.462000453,optimal,NA,16
MINLP,bigm,knitro,2.821886398,30.05700039,optimal,NA,16
MINLP,hull,knitro,2.821886409,26.67899996,optimal,NA,16
GDPopt,LOA,knitro,9.894736842,172.5510362,optimal,NA,16
GDPopt,GLOA,knitro,9.894736842,171.9090975,optimal,NA,16
GDPopt,LBB,knitro,9.894736842,900.1347728,maxTimeLimit,NA,16
GDPopt,LOA,baron,3.356172743,3.573847195,optimal,NA,16
GDPopt,GLOA,baron,2.821881525,900.2802473,maxTimeLimit,NA,16
GDPopt,LBB,baron,9.894736842,900.2006896,maxTimeLimit,NA,16
D-SDA_MIP_bigm,k=Infinity,knitro,2.821886409,24.82,optimal,2.725000936,16
D-SDA_MIP_hull,k=Infinity,knitro,2.821886409,39.45,optimal,4.552998464,16
D-SDA_MIP_bigm,k=2,knitro,3.130198125,9.59,optimal,0.849999161,16
D-SDA_MIP_hull,k=2,knitro,3.130198133,13.96,optimal,0.285999756,16
D-SDA_MIP_bigm,k=Infinity,baron,2.873140014,902.35,maxTimeLimit,887.8059997,16
D-SDA_MIP_hull,k=Infinity,baron,2.909533261,901.66,maxTimeLimit,879.1209998,16
D-SDA_MIP_bigm,k=2,baron,3.13014501,220.65,optimal,206.9429978,16
D-SDA_MIP_hull,k=2,baron,3.130198133,779.72,optimal,766.056,16
MINLP,bigm,antigone,9.894736842,0.182999787,infeasible,NA,17
MINLP,hull,antigone,3.062014577,899.865,optimal,NA,17
MINLP,bigm,baron,2.815267197,900.005,optimal,NA,17
MINLP,hull,baron,2.815267338,900.0960005,optimal,NA,17
MINLP,bigm,scip,2.815267014,901.3079998,optimal,NA,17
MINLP,hull,scip,2.815267333,901.0830004,optimal,NA,17
MINLP,bigm,dicopt,3.506004043,1.059000241,optimal,NA,17
MINLP,hull,dicopt,2.815267333,168.7150003,optimal,NA,17
MINLP,bigm,sbb,2.815267334,112.4719998,optimal,NA,17
MINLP,hull,sbb,2.815267269,12.09800004,optimal,NA,17
MINLP,bigm,knitro,2.815267326,54.73999993,optimal,NA,17
MINLP,hull,knitro,2.815267338,32.39000046,optimal,NA,17
GDPopt,LOA,knitro,2.847894632,133.4871184,optimal,NA,17
GDPopt,GLOA,knitro,2.847894632,227.939277,optimal,NA,17
GDPopt,LBB,knitro,9.894736842,900.2531545,maxTimeLimit,NA,17
GDPopt,LOA,baron,3.356163998,4.581768573,optimal,NA,17
GDPopt,GLOA,baron,2.815263308,901.4078666,maxTimeLimit,NA,17
GDPopt,LBB,baron,9.894736842,900.2096431,maxTimeLimit,NA,17
D-SDA_MIP_bigm,k=Infinity,knitro,2.815267338,28.01,optimal,2.536999667,17
D-SDA_MIP_hull,k=Infinity,knitro,2.815267338,42.56,optimal,2.17800003,17
D-SDA_MIP_bigm,k=2,knitro,3.130198125,10.02,optimal,0.603000401,17
D-SDA_MIP_hull,k=2,knitro,3.130198133,15.36,optimal,0.291000609,17
D-SDA_MIP_bigm,k=Infinity,baron,2.873140018,900.62,maxTimeLimit,884.7710012,17
D-SDA_MIP_hull,k=Infinity,baron,2.889536968,900.86,maxTimeLimit,877.7550006,17
D-SDA_MIP_bigm,k=2,baron,3.130198028,134.33,optimal,124.8519989,17
D-SDA_MIP_hull,k=2,baron,3.130198133,693.64,optimal,678.7409995,17
MINLP,bigm,antigone,9.894736842,0.112999789,infeasible,NA,18
MINLP,hull,antigone,2.966047072,899.9819999,optimal,NA,18
MINLP,bigm,baron,2.809388423,900.0060002,optimal,NA,18
MINLP,hull,baron,2.809388537,900.0779999,optimal,NA,18
MINLP,bigm,scip,2.809388198,901.2520003,optimal,NA,18
MINLP,hull,scip,2.809388527,900.9210004,optimal,NA,18
MINLP,bigm,dicopt,2.809388528,258.8380002,optimal,NA,18
MINLP,hull,dicopt,2.809388521,335.1500002,optimal,NA,18
MINLP,bigm,sbb,2.809388537,640.7970002,optimal,NA,18
MINLP,hull,sbb,2.809388528,790.233,optimal,NA,18
MINLP,bigm,knitro,2.809388526,161.6279996,optimal,NA,18
MINLP,hull,knitro,2.809388538,13.8340001,optimal,NA,18
GDPopt,LOA,knitro,9.894736975,275.7601792,optimal,NA,18
GDPopt,GLOA,knitro,9.894736975,274.6194132,optimal,NA,18
GDPopt,LBB,knitro,9.894736842,900.2475959,maxTimeLimit,NA,18
GDPopt,LOA,baron,3.407906187,6.089390054,optimal,NA,18
GDPopt,GLOA,baron,2.80938225,900.0974182,maxTimeLimit,NA,18
GDPopt,LBB,baron,9.894736842,900.2987322,maxTimeLimit,NA,18
D-SDA_MIP_bigm,k=Infinity,knitro,2.809388526,31.33,optimal,2.231000271,18
D-SDA_MIP_hull,k=Infinity,knitro,3.130198134,38.82,optimal,3.165001818,18
D-SDA_MIP_bigm,k=2,knitro,9.894736842,4.97,optimal,1.454999903,18
D-SDA_MIP_hull,k=2,knitro,3.130198133,16.63,optimal,0.307000824,18
D-SDA_MIP_bigm,k=Infinity,baron,2.909533261,900.69,maxTimeLimit,886.1189998,18
D-SDA_MIP_hull,k=Infinity,baron,2.909533262,900.92,maxTimeLimit,878.0510015,18
D-SDA_MIP_bigm,k=2,baron,3.130187909,221.66,optimal,207.3440002,18
D-SDA_MIP_hull,k=2,baron,3.130198133,697.79,optimal,681.5500009,18
MINLP,bigm,antigone,9.894736842,0.111000077,infeasible,NA,19
MINLP,hull,antigone,2.966047072,899.7440001,optimal,NA,19
MINLP,bigm,baron,2.803110782,900.0130001,optimal,NA,19
MINLP,hull,baron,2.804132826,900.0900001,optimal,NA,19
MINLP,bigm,scip,2.804132515,901.42,optimal,NA,19
MINLP,hull,scip,2.804132822,901.0289999,optimal,NA,19
MINLP,bigm,dicopt,2.804132788,300.0159999,optimal,NA,19
